std_dev, error
0,0.000576916
0.001,0.00213195
0.002,0.00157626
0.003,0.00582693
0.004,0.00485753
0.005,0.0150179
0.006,0.14971
0.007,0.280587
0.008,0.488438
0.009,0.431347
0.01,0.496936
0.011,0.201552
0.012,0.152859
0.013,0.37503
0.014,0.408104
0.015,0.439863
0.016,0.425304
0.017,0.440579
0.018,0.497055
0.019,0.609886
0.02,0.148963
0.021,0.194458
0.022,0.0975431
0.023,0.433023
0.024,0.381605
0.025,0.605204
