std_dev, error
0,0.0133974
0.001,0.0127193
0.002,0.0124291
0.003,0.00968218
0.004,0.00855077
0.005,0.0210763
0.006,0.00451128
0.007,0.0188645
0.008,0.100273
0.009,0.10748
0.01,0.101008
0.011,0.0998154
0.012,0.129806
0.013,0.108383
0.014,0.109735
0.015,0.112437
0.016,0.10257
0.017,0.41542
0.018,0.276487
0.019,0.391968
0.02,0.0913701
0.021,0.107127
0.022,0.106136
0.023,0.203247
0.024,0.0853835
0.025,0.188824
